to go	gehen
gehen	to go
fork	die Gabel
die Gabel	fork
spoon	der Löffel
der Löffel	spoon
on X street	in die X Straße
in die X Straße	on X street
on the right side	auf der rechten seite
auf der rechten seite	on the right side
very easy	ganz einfach
ganz einfach	very easy
approximately	ungefähr
ungefähr	approximately
straight (directions)	geradeaus
geradeaus	straight (directions)
bicycle	ein Fahrrad
ein Fahrrad	bicycle
around	um (+acc)
um (+acc)	around
without / except	ohne (+acc)
ohne (+acc)	without / except
for, on behalf of	für (+acc)
für (+acc)	for, on behalf of
around X time	gegen X Uhr (or other time)
gegen X Uhr (or other time)	around X time
against / towards / contrary to	gegen (+acc)
gegen (+acc)	against / towards / contrary to
by / through / via / by way of	durch (+acc)
durch (+acc)	by / through / via / by way of
you (formal, acc)	Sie
Sie	you (formal, acc)
them (acc)	sie
sie	them (acc)
you all (acc)	euch
euch	you all (acc)
us (acc)	uns
uns	us (acc)
it (acc)	es
es	it (acc)
her (acc)	sie
sie	her (acc)
him (acc)	ihn
ihn	him (acc)
you (acc)	dich
dich	you (acc)
me (acc)	mich
mich	me (acc)
there is / there are	es gibt (+acc) "Es gibt einen Stuhl da drüben" (over there)
es gibt (+acc) "Es gibt einen Stuhl da drüben" (over there)	there is / there are
ship	das Schiff
das Schiff	ship
comfortable / convenient	bequem
bequem	comfortable / convenient
famous	berühmt
berühmt	famous
better	besser
besser	better
possibilities	die Möglichkeiten
die Möglichkeiten	possibilities
beginning	der Anfang
der Anfang	beginning
view	der Blick
der Blick	view
high	hoch
hoch	high
dessert	Nachtisch
Nachtisch	dessert
page	Seite
Seite	page
one half	einhalb
einhalb	one half
to live (permanently)	leben
leben	to live (permanently)
congratulations	Glückwünsche
Glückwünsche	congratulations
to dance	tanzen
tanzen	to dance
people (in general)	die Leute
die Leute	people (in general)
belongs	gehört
gehört	belongs
gift	das Geschenk
das Geschenk	gift
excuses	Entschuldigungen
Entschuldigungen	excuses
especially	besonders
besonders	especially
most times	meistens
meistens	most times
time	die Zeit
die Zeit	time
important	wichtig
wichtig	important
for example	zum Beispiel (z.b.)
zum Beispiel (z.b.)	for example
day before yesterday	vorgestern
vorgestern	day before yesterday
vacation, holiday	die Ferien
die Ferien	vacation, holiday
yesterday	gestern
gestern	yesterday
your (informal, plural)	euer (m, n) / eure (f, pl) / euren (m, acc)
